cluster1_train,cluster1_validation,cluster1_test,cluster2_train,cluster2_validation,cluster2_test,cluster3_train,cluster3_validation,cluster3_test,clusterall_train,clusterall_validation,clusterall_test
22805,100757.0,11587.0,29095,27049.0,65119.0,22343,16472.0,11595.0,31877,102183.0,10029.0
29280,18967.0,105057.0,4528,53825.0,117318.0,68120,64979.0,103157.0,25334,11646.0,105378.0
12248,67719.0,40156.0,76738,64002.0,90664.0,117951,36135.0,35690.0,16029,2531.0,35421.0
103805,90012.0,71140.0,47934,8960.0,59008.0,80106,36881.0,60252.0,100869,88052.0,78029.0
103377,27869.0,89687.0,59607,40807.0,118378.0,39844,78048.0,8274.0,104455,119743.0,89847.0
112333,84345.0,87746.0,53959,87756.0,69875.0,12005,93190.0,84044.0,112330,92747.0,87924.0
7356,20804.0,50354.0,1426,39327.0,46879.0,69989,90269.0,51965.0,6762,16997.0,47181.0
83647,76443.0,40254.0,27435,48666.0,63291.0,61544,35156.0,116485.0,85492,89236.0,43077.0
79025,94329.0,38745.0,39107,115785.0,89127.0,102648,59941.0,38822.0,80301,90623.0,38875.0
50804,108806.0,27048.0,62258,44742.0,52004.0,62899,111560.0,49880.0,45421,108376.0,33699.0
3860,102739.0,27822.0,73307,62749.0,57298.0,86582,117561.0,60329.0,109492,102461.0,19196.0
80881,11819.0,23856.0,43985,22871.0,34022.0,66634,16339.0,25763.0,79043,9551.0,24013.0
46167,20405.0,104412.0,96458,67158.0,92404.0,37728,29656.0,106420.0,56908,85929.0,105218.0
86584,33950.0,43460.0,4228,15011.0,109955.0,3768,18883.0,62180.0,95111,29995.0,112556.0
93648,30974.0,112949.0,6257,99521.0,70549.0,103827,57402.0,112352.0,87108,61872.0,112487.0
98669,76836.0,1358.0,45190,271.0,97481.0,17435,172.0,9722.0,52342,83998.0,496.0
115905,22309.0,57233.0,23675,64855.0,2611.0,107922,95776.0,2152.0,115413,41430.0,66310.0
87005,28855.0,66546.0,36672,70640.0,18170.0,88848,69909.0,101994.0,84879,39375.0,67357.0
106491,114443.0,13095.0,104820,2790.0,84035.0,16424,62708.0,12737.0,103597,115404.0,13678.0
106107,84177.0,49709.0,36101,55441.0,118345.0,6997,72240.0,7245.0,106015,81716.0,45709.0
119105,30597.0,84392.0,70896,119206.0,59728.0,77179,119261.0,99349.0,118703,25242.0,83979.0
101623,39988.0,93768.0,50902,18634.0,106836.0,71358,42257.0,91265.0,92031,32692.0,94439.0
3484,82776.0,14079.0,3343,46676.0,63553.0,2526,20802.0,110138.0,2577,83890.0,15729.0
114760,12526.0,81484.0,45329,103401.0,100547.0,42058,25782.0,5109.0,113207,14058.0,95487.0
98230,53131.0,59793.0,68734,74987.0,108937.0,69662,114342.0,61047.0,98200,114860.0,57397.0
99155,29312.0,3594.0,7606,98245.0,63718.0,104058,71032.0,67353.0,100946,96.0,5081.0
79918,41393.0,43645.0,84433,117012.0,19053.0,114460,61270.0,77233.0,58271,34478.0,47110.0
1634,112283.0,91476.0,16716,8099.0,66928.0,86109,37497.0,50172.0,1301,112276.0,84441.0
95845,78663.0,93807.0,21376,57560.0,96543.0,32960,98866.0,103023.0,96727,80025.0,96540.0
79657,75929.0,117031.0,98471,34411.0,89569.0,28780,65185.0,117330.0,80822,73136.0,118046.0
91355,59614.0,25354.0,77926,56018.0,20959.0,43049,55858.0,105143.0,69641,57820.0,21115.0
47300,10896.0,99195.0,109409,53986.0,97666.0,92115,76172.0,11244.0,46982,9413.0,13244.0
98551,53972.0,26649.0,13371,83783.0,42769.0,6510,84858.0,31363.0,103397,51303.0,36793.0
9001,83421.0,30094.0,29080,37002.0,3830.0,104872,53292.0,27227.0,11658,75168.0,25301.0
88873,73472.0,26564.0,69765,62046.0,2528.0,14355,64228.0,22055.0,118479,80458.0,23839.0
108712,21446.0,22286.0,10083,54930.0,71590.0,107151,33611.0,30047.0,108540,29923.0,25771.0
101658,105603.0,119592.0,49523,1627.0,119090.0,69735,96000.0,117096.0,101675,105513.0,119333.0
8015,55176.0,97989.0,116208,105672.0,8604.0,79827,48195.0,12200.0,4682,49112.0,89168.0
37773,100325.0,62313.0,46401,9536.0,55035.0,41267,27311.0,65852.0,53131,94741.0,63217.0
54885,93211.0,59519.0,76920,71565.0,68805.0,25369,37907.0,49256.0,53463,84166.0,52649.0
58946,117279.0,19352.0,107050,61233.0,68472.0,4666,27454.0,62410.0,62409,117662.0,26044.0
120005,44165.0,34757.0,88928,12514.0,29157.0,104777,10234.0,28960.0,120014,97428.0,28418.0
93720,63172.0,13346.0,41177,23976.0,57586.0,119513,42637.0,15847.0,92290,63120.0,14959.0
9519,118257.0,54151.0,106318,65048.0,106110.0,48142,24430.0,111029.0,7395,118330.0,56674.0
5790,34955.0,6734.0,19527,61598.0,65073.0,76217,85495.0,113593.0,14773,42808.0,8244.0
39219,118071.0,2228.0,77106,42894.0,111482.0,32390,16702.0,109882.0,81763,22722.0,1168.0
112791,4216.0,24042.0,106460,46853.0,93919.0,66434,30862.0,19854.0,78479,4442.0,19310.0
117271,28409.0,18783.0,102896,33879.0,115069.0,14481,26722.0,32611.0,117081,44836.0,17191.0
73178,81248.0,108630.0,67522,18551.0,46731.0,808,80247.0,109927.0,56551,79396.0,110053.0
100059,46486.0,104169.0,102934,12035.0,71024.0,107616,30548.0,9421.0,97641,57079.0,101974.0
23962,104488.0,70650.0,4571,72501.0,87405.0,30889,27145.0,68757.0,30855,100511.0,72732.0
49433,8036.0,41277.0,39421,100845.0,37183.0,77483,81567.0,72119.0,46045,11131.0,44827.0
21891,53750.0,18334.0,99799,24863.0,75507.0,105483,80671.0,120379.0,58151,44734.0,21145.0
101225,25721.0,40262.0,26788,105637.0,66730.0,3891,61813.0,35395.0,115134,94002.0,33006.0
103743,78138.0,61019.0,76940,62313.0,90790.0,120099,116277.0,34262.0,103021,78379.0,34476.0
17697,75254.0,54892.0,19903,67009.0,97762.0,86316,61276.0,105488.0,20115,71695.0,47751.0
4868,36846.0,61574.0,72401,49839.0,82699.0,76157,117275.0,115632.0,7316,46616.0,116867.0
24348,54526.0,26997.0,109808,117630.0,9847.0,10052,118924.0,22743.0,38025,66887.0,19870.0
28996,120607.0,30314.0,64247,98294.0,84826.0,96534,81982.0,67723.0,26601,120594.0,33936.0
75626,13194.0,84908.0,108346,12879.0,19118.0,107163,93266.0,18114.0,75713,46953.0,79907.0
20987,46503.0,97660.0,69751,35901.0,39770.0,58057,47038.0,132.0,18268,58785.0,97742.0
86378,82770.0,33976.0,75560,45880.0,32736.0,99712,111615.0,34294.0,90253,95960.0,30729.0
46807,71668.0,88066.0,86395,118741.0,24535.0,45568,99253.0,83639.0,36499,27391.0,88649.0
44216,8086.0,42991.0,14046,41779.0,7036.0,53199,111922.0,41069.0,39565,7289.0,36179.0
97354,43735.0,109782.0,40061,87658.0,38078.0,92669,12570.0,72007.0,97682,40397.0,74179.0
33617,76655.0,111850.0,29523,37942.0,107049.0,72543,24199.0,111272.0,100967,72935.0,110840.0
52852,66555.0,60937.0,37868,74970.0,13747.0,90019,119015.0,57020.0,45018,63204.0,59060.0
70638,73858.0,120502.0,30925,96941.0,101994.0,36665,116922.0,120597.0,69637,77898.0,120550.0
103121,92705.0,19151.0,57848,108563.0,15557.0,30245,82462.0,17425.0,102362,10232.0,16960.0
95408,19683.0,1761.0,33669,9509.0,24876.0,60705,61894.0,2167.0,97207,113858.0,97941.0
69258,97130.0,109467.0,11833,8167.0,79430.0,50124,18523.0,71419.0,8468,52455.0,108043.0
87800,105123.0,120278.0,113490,87566.0,90746.0,78690,28447.0,120523.0,89757,34741.0,120548.0
89622,11018.0,36412.0,36788,83080.0,80407.0,44891,85164.0,22951.0,84640,15392.0,44749.0
5909,73533.0,116183.0,81693,22613.0,107902.0,83989,114080.0,116230.0,49612,76467.0,116083.0
48462,30715.0,90168.0,87386,109111.0,72436.0,42224,63526.0,1673.0,54631,43230.0,87313.0
81034,31792.0,77840.0,41241,82774.0,68186.0,25729,90031.0,64715.0,81190,45499.0,16899.0
103586,93748.0,110437.0,53176,61737.0,117852.0,70715,120203.0,118022.0,91417,62829.0,109515.0
7898,120317.0,66484.0,25921,12839.0,93713.0,47639,89322.0,56543.0,9596,37605.0,56093.0
102463,67869.0,73033.0,105977,29424.0,114940.0,90989,75209.0,70784.0,62418,66436.0,73935.0
56670,2901.0,18775.0,87617,98146.0,5597.0,4185,117040.0,9103.0,65630,95231.0,11803.0
60788,79113.0,75302.0,5658,117128.0,26117.0,76259,44634.0,701.0,61740,82371.0,701.0
87667,18092.0,57512.0,1403,111240.0,97572.0,24020,10885.0,10390.0,81492,14136.0,52217.0
40050,109960.0,83072.0,71112,53441.0,6558.0,114283,82325.0,97114.0,48394,12285.0,81807.0
99385,37276.0,85078.0,108334,31805.0,10039.0,114704,53991.0,69404.0,100234,29983.0,77852.0
54954,101906.0,70102.0,27839,90501.0,83422.0,89988,79970.0,77620.0,59464,71275.0,53939.0
23477,40412.0,31726.0,63709,16589.0,11924.0,19074,7226.0,7804.0,18260,59226.0,45192.0
21406,78469.0,35385.0,103167,52023.0,69170.0,30274,8477.0,80881.0,19429,76024.0,31206.0
3443,93941.0,23014.0,23111,4508.0,71847.0,3313,17336.0,67651.0,2980,32942.0,18797.0
99984,60807.0,46747.0,70316,76830.0,17753.0,1175,12530.0,30736.0,100007,84355.0,40102.0
95754,49126.0,106319.0,48702,12241.0,25378.0,95975,87511.0,25595.0,96296,43205.0,105732.0
11698,78855.0,58698.0,97129,33595.0,73584.0,104915,109229.0,35700.0,22254,69055.0,59000.0
6906,64569.0,97956.0,29136,9802.0,72113.0,46706,55391.0,27954.0,5611,53577.0,92071.0
90656,37983.0,96813.0,28600,14030.0,67237.0,2428,6193.0,65377.0,85079,30228.0,87660.0
105985,68817.0,26721.0,109636,44203.0,31596.0,105187,11510.0,28761.0,107733,68079.0,25559.0
43698,51547.0,51628.0,55068,46272.0,51903.0,68369,106593.0,40273.0,51540,53827.0,64600.0
65667,119395.0,58024.0,110933,84817.0,49679.0,84960,119691.0,61525.0,61586,120107.0,56064.0
37458,42541.0,89841.0,85980,64236.0,11319.0,108309,11891.0,13468.0,30260,38238.0,85696.0
80338,27773.0,116233.0,23303,84485.0,71445.0,102670,19755.0,63641.0,64670,20450.0,116429.0
45974,30133.0,97083.0,19971,51585.0,106996.0,43609,13476.0,20150.0,62711,25931.0,104333.0
20063,106241.0,92750.0,47343,91192.0,95120.0,30952,83726.0,90095.0,17017,47745.0,92206.0
82530,36218.0,101839.0,99203,62176.0,46062.0,30588,64343.0,98410.0,21575,51801.0,102417.0
62122,25705.0,13590.0,55618,58818.0,69162.0,41674,21561.0,75375.0,75518,27845.0,21804.0
67653,22338.0,40727.0,37830,105663.0,43833.0,65968,102703.0,34650.0,68516,114832.0,35697.0
93702,1145.0,96991.0,106101,67192.0,9555.0,54164,43815.0,59700.0,71439,1487.0,97362.0
58512,3998.0,58591.0,68490,87249.0,78183.0,41164,117312.0,87420.0,114362,2667.0,56684.0
119330,111429.0,68822.0,92028,37529.0,61888.0,120045,108346.0,35347.0,119463,110700.0,78455.0
98131,73502.0,72070.0,20340,42610.0,42071.0,94305,64014.0,73824.0,99392,71323.0,73117.0
113430,19808.0,41811.0,96208,62291.0,53983.0,97634,17241.0,20691.0,112891,17882.0,21727.0
68978,16409.0,30159.0,12749,78850.0,78402.0,7710,93340.0,87166.0,75806,68328.0,47192.0
27232,91405.0,32679.0,45781,110541.0,66244.0,31133,78259.0,29482.0,24901,84478.0,25177.0
89978,44703.0,70027.0,119892,95230.0,107984.0,106180,101169.0,25909.0,31439,61110.0,25552.0
24189,43385.0,35993.0,78371,86702.0,40797.0,94823,86007.0,34979.0,53061,39079.0,51759.0
110461,20976.0,75099.0,120380,104454.0,116882.0,99817,36925.0,116233.0,32223,18266.0,115355.0
23141,21195.0,24283.0,72186,8216.0,72256.0,101527,17472.0,83495.0,18895,16663.0,30932.0
59704,54347.0,119168.0,60890,80139.0,10715.0,56806,60259.0,19018.0,74240,48795.0,119326.0
83112,58471.0,118839.0,70528,106861.0,69328.0,72886,74107.0,119196.0,83155,48154.0,118904.0
80202,36365.0,107118.0,58153,152.0,98753.0,399,54444.0,97867.0,45877,28666.0,105033.0
100330,77261.0,102204.0,34396,6785.0,35027.0,32565,71733.0,92310.0,101339,85738.0,102027.0
43321,76000.0,102334.0,11448,36638.0,53724.0,101444,92229.0,89133.0,51600,73354.0,93900.0
83231,18852.0,70381.0,37631,105323.0,62130.0,51949,26921.0,75028.0,60086,25182.0,70177.0
17693,40259.0,63756.0,69302,83976.0,22824.0,107236,24880.0,549.0,33677,36612.0,64979.0
45385,23791.0,56569.0,73912,65849.0,79707.0,111546,69805.0,66301.0,13740,36892.0,55176.0
117291,33291.0,38426.0,58982,55883.0,24026.0,54709,50037.0,9171.0,116658,51752.0,46931.0
16549,5997.0,19057.0,40728,112205.0,91903.0,26289,79841.0,119385.0,31455,43247.0,36021.0
13602,27205.0,25738.0,43599,109105.0,108626.0,76894,51577.0,114127.0,12546,22154.0,44703.0
28264,84756.0,99615.0,110469,2118.0,33938.0,73672,11477.0,89612.0,23896,79611.0,93160.0
41574,35948.0,30910.0,14740,91928.0,77065.0,36303,93432.0,95932.0,36233,25187.0,53086.0
16914,3016.0,117358.0,76096,100499.0,85160.0,25206,73905.0,7301.0,20964,5529.0,117557.0
47229,12956.0,47673.0,74910,2650.0,44370.0,81221,64563.0,107360.0,63469,10164.0,42119.0
88223,100899.0,60124.0,4559,41898.0,68037.0,26742,37501.0,52244.0,84691,101374.0,47597.0
96882,22766.0,41325.0,8169,114134.0,109294.0,112467,105159.0,36923.0,16492,31241.0,35231.0
24643,97434.0,99798.0,52495,41697.0,51370.0,95759,17451.0,49472.0,45002,18207.0,103568.0
120239,50967.0,21726.0,75300,40010.0,73372.0,19728,31394.0,20620.0,120216,100041.0,19628.0
32588,39115.0,13196.0,10106,48367.0,110206.0,25179,63214.0,98927.0,30231,28143.0,10397.0
54741,22783.0,31827.0,50855,16965.0,63655.0,85247,20148.0,17504.0,59681,20884.0,38262.0
44248,73531.0,49179.0,99538,37513.0,98866.0,37229,62611.0,45720.0,41324,63692.0,39601.0
106234,19476.0,101452.0,27537,60673.0,112107.0,73178,1305.0,108817.0,101957,70066.0,99469.0
19006,61526.0,95891.0,98212,4929.0,76076.0,66600,95940.0,93612.0,21686,59534.0,97859.0
120155,68783.0,93673.0,90703,104298.0,114355.0,91319,42517.0,85941.0,120217,70065.0,95713.0
96126,36673.0,34633.0,71578,114498.0,57874.0,94276,116294.0,60399.0,97221,59151.0,25339.0
106859,82505.0,15844.0,41200,44087.0,23609.0,92551,80292.0,49706.0,107298,82407.0,11610.0
76528,82314.0,115333.0,10755,35371.0,79191.0,17996,65735.0,102493.0,47978,82610.0,117614.0
74315,14106.0,109566.0,84701,16900.0,1149.0,6068,111795.0,110030.0,71936,12858.0,110319.0
64907,54061.0,77031.0,55234,63863.0,46028.0,42781,20509.0,36918.0,47970,58880.0,81214.0
117,77686.0,77424.0,96083,21471.0,91786.0,99944,75426.0,72081.0,323,81149.0,76996.0
88006,64711.0,93475.0,86406,22812.0,90423.0,112682,23500.0,54082.0,88397,63694.0,92670.0
23538,21624.0,34168.0,863,104981.0,99791.0,25506,59326.0,85314.0,23022,21019.0,37844.0
5911,78584.0,74248.0,80783,16782.0,79379.0,113251,88869.0,89965.0,5457,78802.0,81225.0
74834,86716.0,972.0,62038,110526.0,4067.0,58542,42479.0,99714.0,85293,85975.0,1213.0
792,119130.0,115577.0,66985,7373.0,88241.0,87836,111421.0,115561.0,668,62020.0,115476.0
81257,34873.0,19671.0,10183,67260.0,49520.0,95827,3899.0,62400.0,82289,46363.0,19743.0
2974,95557.0,35978.0,64507,94158.0,10242.0,27555,57966.0,67264.0,5371,97326.0,31247.0
42640,11843.0,26039.0,54315,20374.0,84730.0,65914,91482.0,30418.0,116951,8646.0,19444.0
14627,85438.0,14042.0,52335,46821.0,19339.0,33605,115192.0,58760.0,29198,89005.0,13902.0
93280,2828.0,57013.0,45850,74528.0,35509.0,73753,105233.0,16386.0,94089,3225.0,64883.0
20483,22313.0,96667.0,36088,70210.0,21026.0,16710,91145.0,119352.0,18758,26694.0,95426.0
117433,111993.0,80822.0,68418,93669.0,37197.0,95642,99286.0,118115.0,117768,113485.0,95029.0
113851,106087.0,116150.0,87629,94414.0,24697.0,50656,57859.0,54877.0,19630,102835.0,115545.0
71639,68120.0,14822.0,102633,57975.0,110998.0,113336,1536.0,88938.0,71375,60453.0,16500.0
110067,73818.0,59928.0,59937,112818.0,64719.0,61507,60909.0,69201.0,111057,33658.0,69063.0
26384,72521.0,14034.0,100814,31873.0,68769.0,20159,58328.0,91832.0,30658,70752.0,27246.0
44388,25704.0,21707.0,96803,113920.0,54004.0,75371,45035.0,37167.0,48232,30571.0,38701.0
55122,94834.0,69670.0,39528,99190.0,27907.0,86761,96491.0,65179.0,54222,82012.0,70024.0
63772,31475.0,69707.0,116822,60940.0,119850.0,53797,67790.0,77428.0,60032,96692.0,78838.0
22756,9791.0,113117.0,79424,110231.0,99451.0,108211,116384.0,107751.0,26923,20856.0,113591.0
108668,9773.0,72294.0,1800,33403.0,54789.0,21318,30845.0,50885.0,105620,81795.0,70497.0
107580,43806.0,42575.0,119077,84671.0,85102.0,47792,37994.0,119949.0,107558,84141.0,37443.0
22572,38437.0,54842.0,95880,102601.0,9774.0,116601,40348.0,51751.0,702,30295.0,52340.0
39996,22051.0,117108.0,90751,21095.0,110965.0,80442,6805.0,106534.0,29767,26494.0,111839.0
12788,21082.0,16517.0,18734,74368.0,114582.0,10043,20243.0,19339.0,9857,24981.0,20721.0
97789,31388.0,58879.0,41252,48602.0,97422.0,55388,28523.0,59631.0,96873,28331.0,58091.0
2834,3234.0,9939.0,51201,111775.0,102033.0,44375,103885.0,86585.0,3176,68261.0,9638.0
45935,9825.0,119960.0,105807,79545.0,31597.0,99094,67277.0,110403.0,40555,9069.0,110039.0
46652,5256.0,95254.0,7586,15706.0,60191.0,7748,117024.0,27564.0,43448,6468.0,88540.0
24363,49620.0,84353.0,48197,111939.0,649.0,83686,25006.0,34993.0,18620,39187.0,82992.0
55491,57228.0,6825.0,64335,44303.0,46109.0,93967,46044.0,527.0,41809,51259.0,6461.0
60981,53854.0,2099.0,102331,89219.0,18688.0,110075,48996.0,111359.0,70795,43079.0,1380.0
75561,35805.0,79522.0,16772,8266.0,14916.0,15194,111649.0,115890.0,82780,32518.0,79665.0
1493,31870.0,75725.0,14802,48195.0,25029.0,111286,29231.0,54804.0,960,35194.0,68717.0
76739,61014.0,82892.0,99070,104622.0,43720.0,112687,88466.0,66396.0,81717,57186.0,73654.0
86134,75208.0,82521.0,31978,17016.0,21702.0,118052,31464.0,21542.0,32552,50155.0,22322.0
29856,77607.0,6554.0,60409,58738.0,118766.0,90171,64639.0,6243.0,32667,68437.0,6244.0
18520,87347.0,100298.0,37393,21708.0,81026.0,50255,66047.0,45808.0,13794,87813.0,101298.0
100972,100598.0,28828.0,91691,71533.0,115126.0,26159,60864.0,28837.0,102799,95238.0,25035.0
96055,28452.0,113514.0,84104,8017.0,80863.0,32655,90611.0,113150.0,47392,31397.0,112409.0
66072,75727.0,43099.0,34168,94767.0,32370.0,117731,20183.0,43877.0,63595,33512.0,38843.0
113868,109784.0,85845.0,13945,103905.0,64586.0,46572,70719.0,112068.0,114328,109094.0,83966.0
31494,87430.0,39230.0,100598,48614.0,79103.0,65317,108367.0,32022.0,27169,64126.0,32520.0
21376,17124.0,95583.0,119167,34202.0,39763.0,119280,54396.0,113100.0,29687,22392.0,89108.0
38278,5320.0,55641.0,8198,96189.0,35244.0,90777,68671.0,31118.0,43736,5191.0,64974.0
78361,12612.0,101575.0,116875,80468.0,83904.0,108647,88318.0,80788.0,92975,19006.0,89304.0
9288,53085.0,94665.0,98143,40515.0,38638.0,109922,66523.0,57004.0,12833,49008.0,93401.0
74818,110070.0,32358.0,86701,94420.0,77313.0,46455,19447.0,85506.0,34086,111075.0,43188.0
27697,88796.0,39650.0,13457,287.0,15433.0,6613,61774.0,69402.0,46487,82446.0,47247.0
51785,117376.0,82108.0,102687,92500.0,29853.0,108198,55852.0,85145.0,120241,117088.0,82591.0
107668,103606.0,45403.0,7766,103998.0,47327.0,3097,20350.0,34857.0,107758,98741.0,57692.0
25441,34050.0,95322.0,26190,41876.0,9532.0,23997,65003.0,59705.0,33803,27569.0,92596.0
46418,98209.0,1921.0,32124,16547.0,119832.0,50355,94430.0,1590.0,57007,99771.0,2098.0
36627,38002.0,36259.0,7160,60674.0,55906.0,102016,68462.0,73036.0,33194,27589.0,44453.0
19442,114173.0,64528.0,107337,91336.0,72157.0,68795,33.0,68195.0,110186,63473.0,65277.0
74324,8358.0,35047.0,28093,70077.0,8283.0,69013,86127.0,35427.0,76341,5768.0,31657.0
15921,43867.0,91146.0,10720,96480.0,23151.0,46697,113283.0,19019.0,14476,55669.0,96887.0
116190,68537.0,71150.0,12762,96570.0,14250.0,68262,109759.0,72658.0,33103,62764.0,69608.0
59153,51555.0,104743.0,20509,91593.0,14163.0,16049,12505.0,19108.0,68627,49076.0,104531.0
53741,70588.0,22961.0,24042,86532.0,110550.0,50451,34177.0,18068.0,50716,71908.0,18254.0
73491,18566.0,19641.0,47161,104974.0,80786.0,54202,40061.0,117692.0,49574,17448.0,16139.0
7104,7448.0,109169.0,41191,81534.0,35271.0,98763,13570.0,31523.0,10479,6076.0,108300.0
30249,90367.0,104408.0,96041,76924.0,68537.0,102521,83684.0,105528.0,41894,87850.0,105654.0
30340,66293.0,26394.0,50953,97718.0,59594.0,88110,8021.0,24219.0,96613,68126.0,24847.0
100316,28250.0,67227.0,31957,79685.0,73113.0,40951,9948.0,65622.0,101543,36853.0,64508.0
8999,119632.0,62027.0,29582,7846.0,45542.0,92369,20983.0,46125.0,39831,119634.0,63332.0
15300,11105.0,106129.0,114784,49965.0,82836.0,30486,32312.0,104119.0,11443,21451.0,106460.0
75060,63578.0,106806.0,105539,54484.0,66140.0,73309,103055.0,34273.0,78211,87700.0,106329.0
64268,63208.0,120639.0,27350,115829.0,45819.0,99062,78389.0,120593.0,18036,60923.0,120669.0
94841,102371.0,26111.0,22438,92405.0,42184.0,29753,59692.0,23390.0,93591,101044.0,21927.0
61254,71019.0,87656.0,59809,80265.0,51439.0,68696,33387.0,49874.0,59117,69541.0,95568.0
24771,97414.0,83058.0,96045,114777.0,107059.0,103629,3102.0,36224.0,42854,111616.0,81148.0
109100,52150.0,109699.0,35648,30125.0,100285.0,13055,10368.0,96663.0,78131,46536.0,105379.0
70621,21914.0,120104.0,34897,80454.0,39828.0,100401,77548.0,34726.0,67485,14214.0,120186.0
21556,83879.0,51251.0,77401,87939.0,47730.0,59753,89637.0,46960.0,26200,79522.0,45444.0
31321,57640.0,56657.0,14172,98233.0,79714.0,25548,50110.0,84499.0,26979,23100.0,47383.0
23535,41330.0,56388.0,120193,46674.0,100569.0,62567,54194.0,56588.0,21640,34358.0,54138.0
112374,99172.0,118388.0,60990,74343.0,49512.0,34947,63758.0,119378.0,52253,83716.0,117904.0
116815,87737.0,57308.0,10190,117424.0,17096.0,32623,35235.0,79039.0,115095,85265.0,82621.0
82800,82591.0,60784.0,44097,86482.0,117954.0,31012,44560.0,8473.0,87073,41372.0,7783.0
32670,81559.0,101032.0,100194,6158.0,68374.0,829,55697.0,66553.0,26501,79341.0,95692.0
105096,78585.0,141.0,118228,29834.0,19798.0,62597,42568.0,223.0,104879,49631.0,82.0
